solver,gamma,hit_ineff,n_trk,eff_fix_pct,far_fix_pct,n_true,n_false_all,eff_wp_pct,eff_wp_sem,far_wp_pct,far_wp_sem
classical,2.0,0.01,550,99.406,58.308,2157.0,1184304.6,99.48,0.12,58.303,0.533
classical,2.0,0.01,700,99.306,69.7,2742.8,1917287.2,99.307,0.047,57.473,5.586
classical,2.0,0.01,1000,99.3,82.513,3920.2,3916431.8,99.471,0.041,79.551,2.933
classical,3.0,0.0,10,100.0,0.0,40.0,360.0,100.0,0.0,0.0,0.0
classical,3.0,0.0,20,100.0,0.0,80.0,1520.0,100.0,0.0,0.0,0.0
classical,3.0,0.0,30,100.0,0.0,120.0,3480.0,100.0,0.0,0.0,0.0
classical,3.0,0.0,50,100.0,0.197,200.0,9800.0,100.0,0.0,0.197,0.115
classical,3.0,0.0,75,100.0,0.0,300.0,22200.0,100.0,0.0,0.0,0.0
classical,3.0,0.0,100,100.0,0.222,400.0,39600.0,100.0,0.0,0.173,0.08
classical,3.0,0.0,150,100.0,0.412,600.0,89400.0,100.0,0.0,0.346,0.169
classical,3.0,0.0,200,100.0,0.757,800.0,159200.0,100.0,0.0,0.648,0.143
classical,3.0,0.0,300,100.0,1.354,1200.0,358800.0,100.0,0.0,1.017,0.249
classical,3.0,0.0,400,100.0,2.247,1600.0,638400.0,100.0,0.0,1.49,0.117
classical,3.0,0.0,550,100.0,5.485,2200.0,1207800.0,100.0,0.0,2.921,0.467
classical,3.0,0.0,700,100.0,9.644,2800.0,1957200.0,100.0,0.0,4.92,0.203
classical,3.0,0.0,1000,100.0,20.482,4000.0,3996000.0,100.0,0.0,10.015,0.347
classical,3.0,0.01,10,97.895,0.0,39.1,351.9,100.0,0.0,4.5,4.5
classical,3.0,0.01,20,97.887,0.0,78.1,1484.2,100.0,0.0,23.751,9.437
classical,3.0,0.01,30,97.995,0.0,117.2,3399.0,100.0,0.0,38.667,15.786
classical,3.0,0.01,50,98.635,0.205,196.4,9622.0,100.0,0.0,44.299,11.144
classical,3.0,0.01,75,98.496,0.102,294.5,21795.0,99.66,0.113,21.736,12.834
classical,3.0,0.01,100,98.186,0.283,390.4,38645.5,99.758,0.063,33.089,9.904
classical,3.0,0.01,150,98.153,0.465,586.4,87385.8,99.693,0.094,27.208,12.025
classical,3.0,0.01,200,98.571,0.964,785.2,156259.0,99.529,0.056,21.168,6.157
classical,3.0,0.01,300,98.395,1.537,1172.9,350680.3,99.573,0.102,30.794,0.659
classical,3.0,0.01,400,98.416,2.579,1567.0,625261.8,99.441,0.053,41.71,2.033
classical,3.0,0.01,550,98.442,5.227,2157.0,1184304.6,99.48,0.12,58.303,0.533
classical,3.0,0.01,700,98.458,8.778,2742.8,1917287.2,99.307,0.047,57.473,5.586
classical,3.0,0.01,1000,98.544,20.827,3920.2,3916431.8,99.477,0.041,79.55,2.933
quantum,1.0,0.0,10,100.0,0.0,40.0,360.0,100.0,0.0,0.0,0.0
quantum,1.0,0.0,20,100.0,0.0,80.0,1520.0,100.0,0.0,0.0,0.0
quantum,1.0,0.0,50,100.0,1.612,200.0,9800.0,100.0,0.0,1.612,1.153
quantum,1.0,0.0,100,100.0,5.35,400.0,39600.0,100.0,0.0,5.35,0.794
quantum,1.0,0.0,200,100.0,15.603,800.0,159200.0,100.0,0.0,15.603,0.621
quantum,1.0,0.0,400,100.0,62.354,1600.0,638400.0,67.188,32.719,42.975,0.852
quantum,1.0,0.0,700,100.0,68.853,2800.0,1957200.0,99.881,0.06,68.869,0.237
quantum,1.0,0.0,1000,100.0,82.696,4000.0,3996000.0,99.658,0.092,82.737,0.253
quantum,1.0,0.01,10,100.0,0.0,39.3,354.0,100.0,0.0,0.0,0.0
quantum,1.0,0.01,20,99.145,0.0,79.3,1507.3,100.0,0.0,31.667,31.667
quantum,1.0,0.01,50,99.474,1.351,194.3,9525.0,100.0,0.0,33.666,32.169
quantum,1.0,0.01,100,99.485,4.43,390.3,38649.0,99.831,0.169,35.926,31.538
quantum,1.0,0.01,200,99.575,15.413,785.0,156227.3,99.533,0.043,15.39,1.006
quantum,1.0,0.01,400,99.467,44.281,1564.3,624251.0,99.318,0.02,44.299,0.812
quantum,1.0,0.01,700,99.341,69.492,2732.3,1910177.3,99.194,0.133,69.511,0.162
quantum,1.0,0.01,1000,99.557,82.876,3915.3,3911535.0,99.31,0.09,82.906,0.152
quantum,2.0,0.0,10,75.0,0.0,40.0,360.0,100.0,0.0,0.0,0.0
quantum,2.0,0.0,20,75.0,0.0,80.0,1520.0,100.0,0.0,0.0,0.0
quantum,2.0,0.0,50,75.667,2.085,200.0,9800.0,100.0,0.0,1.612,1.153
quantum,2.0,0.0,100,75.167,6.985,400.0,39600.0,100.0,0.0,5.35,0.794
quantum,2.0,0.0,200,75.083,19.719,800.0,159200.0,100.0,0.0,15.572,0.639
quantum,2.0,0.0,400,83.896,48.377,1600.0,638400.0,100.0,0.0,43.795,0.578
quantum,2.0,0.0,700,76.345,74.321,2800.0,1957200.0,99.964,0.021,68.855,0.231
quantum,2.0,0.0,1000,76.908,86.133,4000.0,3996000.0,99.942,0.022,82.702,0.251
quantum,2.0,0.01,10,75.439,0.0,39.3,354.0,100.0,0.0,0.0,0.0
quantum,2.0,0.01,20,74.359,0.0,79.3,1507.3,100.0,0.0,31.667,31.667
quantum,2.0,0.01,50,75.464,1.773,194.3,9525.0,100.0,0.0,33.666,32.169
quantum,2.0,0.01,100,75.322,5.767,390.3,38649.0,99.831,0.169,35.926,31.538
quantum,2.0,0.01,200,75.542,19.247,785.0,156227.3,99.575,0.085,15.322,1.007
quantum,2.0,0.01,400,76.135,50.922,1564.3,624251.0,99.446,0.044,44.273,0.815
quantum,2.0,0.01,700,76.503,74.723,2732.3,1910177.3,99.304,0.119,69.493,0.158
quantum,2.0,0.01,1000,77.048,86.21,3915.3,3911535.0,99.489,0.107,82.883,0.144
quantum,3.0,0.0,10,75.0,0.0,40.0,360.0,100.0,0.0,0.0,0.0
quantum,3.0,0.0,20,75.0,0.0,80.0,1520.0,100.0,0.0,0.244,0.244
quantum,3.0,0.0,30,75.0,0.0,120.0,3480.0,100.0,0.0,0.164,0.164
quantum,3.0,0.0,50,74.9,0.133,200.0,9800.0,100.0,0.0,1.367,0.385
quantum,3.0,0.0,75,75.0,0.0,300.0,22200.0,100.0,0.0,2.142,0.341
quantum,3.0,0.0,100,74.95,0.067,400.0,39600.0,99.9,0.1,5.121,0.463
quantum,3.0,0.0,150,75.067,0.351,600.0,89400.0,100.0,0.0,10.148,1.163
quantum,3.0,0.0,200,74.975,0.331,800.0,159200.0,99.9,0.1,15.692,0.704
quantum,3.0,0.0,400,74.708,1.727,1600.0,638400.0,99.479,0.083,43.897,0.586
quantum,3.0,0.0,700,74.45,8.048,2800.0,1957200.0,99.5,0.205,69.477,0.345
quantum,3.0,0.0,1000,74.245,18.794,4000.0,3996000.0,100.0,0.0,82.656,0.154
quantum,3.0,0.01,10,72.895,0.0,38.8,349.2,100.0,0.0,0.0,0.0
quantum,3.0,0.01,20,73.937,0.0,78.7,1495.3,100.0,0.0,19.0,12.667
quantum,3.0,0.01,30,73.431,0.0,117.2,3399.0,100.0,0.0,38.667,15.786
quantum,3.0,0.01,50,73.802,0.0,195.9,9600.1,100.0,0.0,39.599,15.896
quantum,3.0,0.01,75,73.745,0.046,294.5,21795.0,99.693,0.107,22.1,12.768
quantum,3.0,0.01,100,73.732,0.067,393.0,38910.8,99.747,0.113,23.707,18.827
quantum,3.0,0.01,150,73.474,0.322,587.4,87532.8,99.626,0.112,27.158,18.048
quantum,3.0,0.01,200,73.671,0.815,784.0,156030.4,99.542,0.125,32.573,16.745
quantum,3.0,0.01,400,73.235,2.405,1564.3,624251.0,99.467,0.057,44.281,0.811
quantum,3.0,0.01,700,73.039,7.873,2734.4,1911468.8,99.268,0.076,69.945,0.296
quantum,3.0,0.01,1000,73.002,18.913,3918.2,3914502.4,99.556,0.064,82.755,0.193
